# Wavelength [nm],zero_counts_500avgs_8ms
430.9742856546417,-102.492200756409
431.42397249999993,-102.77963749935323
431.87363766985834,-99.99130470001765
432.3232811498666,-100.58574410408302
432.77290292567466,-102.0111925915162
433.2225029829325,-103.34276758842552
433.67208130729,-101.97598823377095
434.12163788439716,-103.43662309046519
434.5711726999038,-101.55559731488006
435.0206857394598,-102.05616486731097
435.47017698871525,-102.71120180637578
435.91964643332005,-99.38514651961198
436.36909405892396,-101.52626690966191
436.8185198511769,-100.74412406587655
437.2679237957291,-102.07767617316509
437.7173058782301,-101.70615451301396
438.16666608433,-101.64554323830001
438.6160043996787,-102.0209693846344
439.06532080992616,-100.51926728558232
439.51461530072226,-101.4343614721874
439.9638878577169,-98.9451871165021
440.41313846655993,-99.93851466223117
440.86236711290155,-103.22935739037017
441.3115737823914,-101.62599429672791
441.7607584606794,-100.34328132925657
442.20992113341566,-101.6377210616577
442.65906178625,-100.23182114945276
443.10818040483235,-102.52934994464908
443.55727697481257,-100.45472786076938
444.00635148184057,-99.32062283304053
444.45540391156646,-104.20896880673105
444.90443424964,-102.43158988837425
445.3534424817111,-100.94944092482369
445.80242859342974,-103.5206932474784
446.25139257044583,-101.75698804097297
446.70033439840927,-102.39052525577527
447.14925406297,-99.57090921479505
447.59815154977787,-100.57596867098637
448.04702684448296,-102.1793471923995
448.4958799327351,-98.14543703518453
448.94471080018405,-99.11725727025421
449.39351943248,-102.43354740711479
449.8423058152727,-102.681873927197
450.2910699342122,-100.09299527652622
450.73981177494824,-99.22871351230924
451.18853132313086,-101.60057112255463
451.63722856441007,-100.31981770117194
452.08590348443556,-99.8505266346715
452.53455606885734,-102.12850309533815
452.98318630332545,-99.98739209994586
453.4317941734897,-100.32372131832399
453.880379665,-103.52852315874017
454.3289427635063,-102.51175109973595
454.7774834546585,-102.62907724617568
455.2260017241067,-101.41286277225802
455.6744975575005,-101.8567179117977
456.12297094049,-99.48487359943006
456.57142185872516,-100.56423380632894
457.0198502978558,-100.25332163584048
457.4682562435318,-101.11758795641232
457.9166396814033,-103.42880244411403
458.36500059711994,-102.94193534721448
458.813338976332,-101.13127754970893
459.261654804689,-103.22935205849848
459.709948067841,-103.23522388853921
460.158218751438,-100.84189752821626
460.60646684113004,-104.5570123665928
461.0546923225667,-101.82934359872738
461.5028951813981,-101.19776936566952
461.9510754032742,-103.2254476690111
462.39923297384496,-103.61456153472949
462.84736787876,-102.25560847635602
463.2954801036695,-102.09527103869247
463.7435696342233,-104.26175672264863
464.1916364560715,-103.23913292234958
464.6396805548637,-102.29080159750642
465.08770191624996,-100.495799154157
465.53570052588026,-102.72097174843074
465.9836763694046,-103.58914306451845
466.4316294324727,-98.6323144373985
466.87955970073443,-104.22852435927899
467.32746715984007,-100.45082326808071
467.7753517954391,-102.26537635009068
468.2232135931818,-101.81174407210149
468.67105253871784,-102.41985224067382
469.11886861769733,-101.03546738223017
469.56666181577003,-103.00254044441016
470.01443211858594,-101.17820978174841
470.46217951179494,-100.34131822296382
470.9099039810471,-100.35696196967189
471.3576055119921,-98.22951618640899
471.80528409028,-102.2595177799618
472.2529397015607,-104.10534154545734
472.7005723314842,-104.03885593283287
473.14818196570025,-101.3229069940928
473.59576858985884,-102.08939971708001
474.04333218961,-100.88295862959616
474.49087275060356,-102.5137123252397
474.9383902584894,-104.45729540367662
475.38588469891744,-99.69409140765593
475.8333560575377,-104.6938859793099
476.2808043200001,-102.54303915573239
476.72822947195436,-102.86567237589404
477.17563149905055,-100.51143854677717
477.6230103869386,-99.27368982339688
478.07036612126853,-101.52235859280036
478.51769868769003,-103.58131853506455
478.9650080718531,-101.78828177445807
