# Wavelength [nm],one_counts_500avgs_8ms
632.8923708023503,60168.26708668235
633.6539089670296,60249.7014670722
634.4153722954943,60321.23378681912
635.1767607877446,60377.50018916266
635.9380744437804,60417.4963565236
636.6993132636017,60428.68688917341
637.4604772472085,60432.791998408895
638.2215663946008,60402.677609777114
638.9825807057787,60368.67244094752
639.743520180742,60327.31089827087
640.504384819491,60266.433949193066
641.2651746220254,60175.766584103345
642.0258895883453,60079.87695365426
642.7865297184508,59947.653934226706
643.5470950123417,59820.035051504405
644.3075854700182,59644.289243030966
645.0680010914803,59482.22637885382
645.8283418767278,59294.60141749367
646.5886078257608,59089.92178867686
647.3487989385794,58890.71430978395
648.1089152151835,58650.2845849423
648.8689566555731,58418.43370743518
649.6289232597483,58155.39240994441
650.3888150277089,57914.23503905184
651.1486319594551,57633.851930327015
651.9083740549868,57361.02854953931
652.668041314304,57075.055450120504
653.4276337374067,56800.1250013196
654.187151324295,56486.66740522371
654.9465940749687,56175.06001083567
655.705961989428,55900.034685060535
656.4652550676728,55610.58866083467
657.2244733097032,55330.88869502007
657.983616715519,55068.553652481976
658.7426852851204,54785.86015612305
659.5016790185073,54520.30981189886
660.2605979156797,54252.02640182472
661.0194419766376,54006.78502309758
661.778211201381,53789.6224855553
662.53690558991,53579.59207229599
663.2955251422245,53386.18776173322
664.0540698583245,53207.47383842058
664.81253973821,53067.24570774904
665.5709347818811,52923.23343688567
666.3292549893376,52851.79988380757
667.0875003605797,52777.27004814785
667.8456708956073,52722.34921142709
668.6037665944204,52690.793603046055
669.3617874570191,52681.37642779915
670.1197334834033,52700.253831698865
670.8776046735729,52737.35111118578
671.6354010275281,52772.35375769115
672.3931225452689,52810.1518973381
673.1507692267951,52830.45234730208
673.9083410721069,52861.01929335009
674.6658380812041,52883.5733267279
675.4232602540869,52862.76307936293
676.1806075907552,52794.338826663676
676.9378800912091,52698.240694287444
677.6950777554484,52541.46679026863
678.4522005834733,52357.523342145105
679.2092485752837,52108.539531069495
679.9662217308796,51812.40628102914
680.7231200502611,51469.00287530214
681.479943533428,51093.23331556305
682.2366921803805,50670.9865953043
682.9933659911185,50243.15081185374
683.749964965642,49799.21055034648
684.506489103951,49329.90693523072
685.2629384060456,48870.423272532775
686.0193128719256,48413.80806053478
686.7756125015912,47970.86473862656
687.5318372950424,47594.21638534094
688.287987252279,47220.81314953441
689.0440623733011,46894.667101818595
689.8000626581088,46650.575205268586
690.555988106702,46455.18479897058
691.3118387190807,46351.33582472778
692.0676144952449,46294.38253618759
692.8233154351947,46321.232053953514
693.5789415389299,46457.86627661979
694.3344928064507,46639.041723421535
695.089969237757,46901.63795007663
695.8453708328489,47236.76859848286
696.6006975917262,47627.65862749816
697.3559495143891,48103.5069039428
698.1111266008375,48596.12627210287
698.8662288510714,49124.485494984685
699.6212562650908,49720.11849849411
700.3762088428957,50333.69293233786
701.1310865844862,50932.381010868135
701.8858894898622,51521.71911812263
702.6406175590237,52073.52482168997
703.3952707919707,52600.61761669862
704.1498491887032,53086.33357493754
704.9043527492213,53465.7329671275
705.6587814735249,53770.89772949859
706.413135361614,53998.42602094231
707.1674144134886,54140.82901981719
707.9216186291487,54174.172306841225
708.6757480085944,54155.7058292968
709.4298025518256,54013.76450967718
710.1837822588423,53804.968718136945
710.9376871296445,53535.206570203016
711.6915171642322,53188.20396534674
712.4452723626055,52810.82555768666
713.1989527247642,52402.909260945555
713.9525582507085,51979.20969975016
714.7060889404383,51537.37996197023
715.4595447939537,51119.89806276445
716.2129258112545,50711.621933703056
716.9662319923409,50339.40687751641
717.7194633372128,50017.39123484641
718.4726198458702,49684.47537057772
719.2257015183131,49444.700197282524
719.9787083545416,49242.5341942056
720.7316403545556,49118.29046142212
721.484497518355,49058.025550088016
722.2372798459401,49049.20362248242
722.9899873373106,49114.83460710171
723.7426199924666,49250.6274883863
724.4951778114082,49430.55089574431
725.2476607941353,49646.99377324515
726.0000689406479,49894.86459719538
726.752402250946,50152.16635627706
727.5046607250297,50413.213675253544
728.2568443628988,50659.92646618084
729.0089531645535,50896.32627311403
729.7609871299937,51048.57613759599
730.5129462592195,51132.36563841881
731.2648305522307,51183.383133127645
732.0166400090275,51119.056213828466
732.7683746296098,50928.9014717009
733.5200344139776,50663.21604579854
734.2716193621309,50261.67108226226
735.0231294740697,49766.2490765825
735.7745647497941,49168.829701976865
736.525925189304,48453.04772239857
737.2772107925994,47691.10014997546
738.0284215596803,46877.949578838576
738.7795574905467,46027.91851669243
739.5306185851987,45138.02657589856
740.2816048436362,44216.730994689075
741.0325162658592,43298.220793703185
741.7833528518677,42409.858588802694
742.5341146016617,41523.84506373529
743.2848015152413,40665.58305957849
744.0354135926063,39818.96311429957
744.7859508337569,39043.47729557353
745.5364132386931,38349.22337264933
746.2868008074147,37707.106120105316
747.0371135399218,37163.695097685195
747.7873514362145,36709.22787809642
748.5375144962927,36354.73523215316
749.2876027201564,36146.53882002185
750.0376161078057,36057.008254024215
750.7875546592404,36093.64881808593
751.5374183744607,36249.48671940142
752.2872072534665,36556.9094601134
753.0369212962578,36991.64873525552
753.7865605028346,37589.60982515792
754.536124873197,38284.067716050435
755.2856144073448,39087.27101157819
756.0350291052782,40032.01955753974
756.7843689669971,41095.96773100975
757.5336339925016,42277.10369997535
758.2828241817915,43581.36065282786
759.031939534867,44963.177133563404
759.780980051728,46414.98940036398
760.5299457323745,47960.83855830824
761.2788365768065,49601.33383818345
762.027652585024,51291.48729908697
762.7763937570271,52988.129572656246
763.5250600928157,54631.72250071805
764.2736515923898,56222.635819628726
765.0221682557494,57717.99445037969
765.7706100828946,59045.85143639748
766.5189770738252,60171.790157609146
767.2672692285414,60903.36358444998
768.0154865470431,61258.366526610735
768.7636290293303,61264.051610189024
769.5116966754031,60818.90227672735
770.2596894852613,59962.15743903273
771.0076074589051,58659.05574086228
771.7554505963344,57031.14884360964
772.5032188975492,55088.24332215164
773.2509123625496,52990.86171642603
773.9985309913354,50806.95389429159
774.7460747839068,48648.58930803275
775.4935437402637,46537.9046272326
776.2409378604061,44547.23487224161
776.988257144334,42720.29185637237
777.7355015920475,41115.23718578346
778.4826712035465,39724.016033701235
779.229765978831,38542.44063862254
779.976785917901,37586.66758778349
780.7237310207565,36767.47124475754
781.4706012873976,36141.76570462233
782.2173967178242,35693.655559155406
782.9641173120363,35408.892912962016
783.7107630700339,35246.324922830056
784.457333991817,35193.1245080305
785.2038300773856,35223.413081996216
785.9502513267398,35364.7542306125
786.6965977398795,35595.030404338904
787.4428693168047,35911.24034357633
788.1890660575154,36265.192439347404
788.9351879620117,36663.157532022386
789.6812350302935,37100.08227891002
790.4272072623608,37613.38733353271
791.1731046582136,38197.773445963656
791.9189272178519,38829.58224183407
792.6646749412757,39494.43599372756
793.4103478284851,40251.738922724275
794.15594587948,41078.29193043722
794.9014690942604,41945.63575088385
795.6469174728263,42923.64153032034
796.3922910151778,43996.77233698632
797.1375897213147,45095.56241188467
797.8828135912372,46260.734568573695
798.6279626249452,47421.947269888675
799.3730368224387,48617.69391429481
800.1180361837178,49804.39114355536
800.8629607087823,50929.27701316389
801.6078103976324,51963.878736743194
802.352585250268,52789.945931279915
803.0972852666891,53369.80950511784
803.8419104468958,53739.10338632775
804.5864607908879,53773.81391897128
805.3309362986656,53478.935950281004
806.0753369702288,52894.9568043426
806.8196628055775,51911.820141899276
