# Wavelength [nm],zero_counts_50avgs_60.0ms
524.9110203986673,-40.92656113558537
525.3558404765201,-53.50474160731152
525.8006358653558,-44.975989359817056
526.2454065508249,-53.015709241564565
526.690152518577,-61.896073691870825
527.1348737542621,-60.21394140685976
527.57957024353,-59.23597891669127
528.0242419720307,-56.47797714724666
528.4688889254141,-60.64421002173917
528.9135110893303,-52.56585444590695
529.358108449429,-50.257641614122676
529.8026809913599,-52.859263415846186
530.2472287007735,-56.53664272801831
530.6917515633194,-57.80804619829776
531.1362495646474,-58.35570551882357
531.5807226904077,-52.37028954772008
532.02517092625,-58.649148083564214
532.4695942578244,-49.14259314706756
532.9139926707805,-57.47559088732172
533.3583661507687,-51.979014256161506
533.8027146834385,-47.32341807471753
534.24703825444,-50.76624913872814
534.6913368494231,-57.22125158941572
535.1356104540378,-49.768630222049005
535.5798590539338,-52.957072868291995
536.0240826347614,-44.936845244112334
536.46828118217,-59.979255857409896
536.9124546818099,-55.53909791601369
537.356603119331,-54.24805433270906
537.8007264803831,-52.448497231246556
538.2448247506161,-55.16742716668195
538.68889791568,-57.33868234692506
539.1329459612247,-57.182123734638154
539.5769688729001,-58.31665428923895
540.0209666363562,-59.705373603076325
540.4649392372428,-56.45844752388787
540.9088866612099,-48.770956523539446
541.3528088939075,-48.59493904591968
541.7967059209853,-59.470696517617725
542.2405777280934,-60.37042343485326
542.6844243008816,-47.18646399429371
543.128245625,-58.76644112050031
543.5720416860984,-53.44611339493595
544.0158124698265,-53.81772685227777
544.4595579618347,-61.66128589064035
544.9032781477725,-54.48276776367843
545.3469730132899,-53.27003024488535
545.790642544037,-46.24759017614533
546.2342867256638,-59.72495725235326
546.67790554382,-55.3239122087332
547.1214989841552,-30.73404762360084
547.56506703232,-54.698008262850955
548.008609673964,-49.63160215030635
548.4521268947369,-61.05502248154347
548.8956186802891,-51.177006017942084
549.33908501627,-52.35065556524084
549.7825258883299,-54.95221621191097
550.2259412821187,-55.265287326201694
550.6693311832862,-50.981424010157504
551.1126955774822,-49.964227988131015
551.556034450357,-52.89835262860155
551.99934778756,-55.65644838361408
552.4426355747415,-51.822575195789895
552.8858977975514,-62.365521846606754
553.3291344416394,-59.68585656609809
553.7723454926557,-55.53909372285638
554.21553093625,-48.321061612366094
554.6586907580722,-54.60011691673591
555.1018249437726,-56.65403136160078
555.5449334790007,-55.26524163527978
555.9880163494065,-51.548672443631716
556.43107354064,-47.98851164935184
556.8741050383512,-53.66125120128502
557.3171108281898,-56.63444500615494
557.7600908958058,-47.73426848446904
558.2030452268492,-44.95643422498897
558.64597380697,-55.4803476351516
559.0888766218179,-54.73708710454106
559.5317536570429,-56.86918691804498
559.974604898295,-59.02076765748571
560.4174303312241,-55.08919448478617
560.86022994148,-55.55861965454565
561.3030037147128,-51.04012991678507
561.7457516365721,-58.90347573162947
562.1884736927083,-46.40400054605414
562.6311698687709,-37.209617465562026
563.07384015041,-57.72980376543007
563.5164845232755,-42.80459042863469
563.9591029730174,-54.032893244096286
564.4016954852855,-42.29597568612348
564.8442620457297,-50.277190797495685
565.28680264,-44.85861970992678
565.7293172537464,-53.11351222746476
566.1718058726185,-49.631709304969654
566.6142684822667,-58.394872971628764
567.0567050683404,-48.9666196543869
567.49911561649,-54.40456412057383
567.9415001123651,-55.67600044993601
568.3838585416157,-48.18412770598607
568.8261908898918,-59.11857516900384
569.2684971428433,-49.2013337523211
569.71077728612,-59.8227705666072
570.153031305372,-64.16500003279509
570.5952591862489,-58.90346575690757
